ticker, name, sector, industry, country
AAPL,Apple Inc.,Information Technology,Consumer Electronics,USA
AJRD,"Aerojet Rocketdyne Holdings, Inc.",Industrials,Aerospace & Defense,USA
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,USA
AMC,"AMC Entertainment Holdings, Inc.",Communication Services,Entertainment,USA
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,Switzerland
AMD,"Advanced Micro Devices, Inc.",Information Technology,Semiconductors,USA
AMRS,"Amyris, Inc.",Basic Materials,Specialty Chemicals,USA
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,USA
ASML,ASML Holding N.V.,Information Technology,Semiconductor Equipment & Materials,Netherlands
ASTS,"AST SpaceMobile, Inc.",Communication Services,Telecom Services,USA
AVAV,"AeroVironment, Inc.",Industrials,Aerospace & Defense,USA
AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA
BABA,Alibaba Group Holding Limited,Consumer Cyclical,Internet Retail,China
BBAI,"BigBear.ai Holdings, Inc.",Information Technology,Information Technology Services,USA
BBBY,Bed Bath & Beyond Inc.,Consumer Cyclical,Specialty Retail,USA
BKSY,BlackSky Technology Inc.,Information Technology,Scientific & Technical Instruments,USA
BLK,"BlackRock, Inc.",Financial,Asset Management,USA
BRK-B,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,USA
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,USA
CHPT,"ChargePoint Holdings, Inc.",Consumer Cyclical,Specialty Retail,USA
CLF,Cleveland-Cliffs Inc.,Basic Materials,Steel,USA
COIN,"Coinbase Global, Inc.",Financial,Financial Data & Stock Exchanges,USA
CRSP,CRISPR Therapeutics AG,Healthcare,Biotechnology,Switzerland
DASH,"DoorDash, Inc.",Communication Services,Internet Content & Information,USA
DIS,The Walt Disney Company,Communication Services,Entertainment,USA
DM,"Desktop Metal, Inc.",Information Technology,Computer Hardware,USA
DNN,Denison Mines Corp.,Energy,Uranium,Canada
DOMA,Doma Holdings Inc.,Real Estate,Real Estate Services,USA
EGLE,Eagle Bulk Shipping Inc.,Industrials,Marine Shipping,USA
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,USA
GEO,"The GEO Group, Inc.",Industrials,Security & Protection Services,USA
GME,GameStop Corp.,Consumer Cyclical,Specialty Retail,USA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,USA
GSAT,"Globalstar, Inc.",Communication Services,Telecom Services,USA
IBM,International Business Machines Corporation,Information Technology,Information Technology Services,USA
INTC,Intel Corporation,Information Technology,Semiconductors,USA
JPM,JPMorgan Chase & Co.,Financial,Banks - Diversified,USA
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,USA
